"PIN","timestamp","country","code","plays","sex","kinsey","partnerSex","age","relstat","children","numChild","childYoungest","childOldest","milkCereal","pos1","pos2","pos3","pos4","pos5","pos6","disgust1","disgust2","disgust3","disgust4","disgust5","disgust6","tdds1","tdds2","tdds3","tdds4","tdds5","tdds6","tdds7","tdds8","tdds9","tdds10","tdds11","tdds12","tdds13","tdds14","tdds15","tdds16","tdds17","tdds18","tdds19","tdds20","tdds21","selfArt","selfHealth","selfKind","selfSexy","selfResources","idealArt","idealHealth","idealKind","idealSexy","idealResources","choiceArt","choiceHealth","choiceKind","choiceSexy","choiceWealthy","choiceMoral","choicePath","choiceSex","tddMoral","tddPath","tddSex","tddTotal","mv"
29,"2/7/2023 2:20","en",NA,1,"1",1,"0",27,"0","0",0,NA,NA,"a","artistic","artistic","artistic","kind","kind","artistic","pathogen","sex","sex","moral","moral","moral",4,5,5,4,4,5,5,4,5,6,5,5,4,4,5,4,5,4,4,5,4,8,9,8,7,9,7,6,8,8,6,4,0,2,0,0,3,1,2,4.42857142857143,4.71428571428571,4.57142857142857,4.57142857142857,8.8414417296667
30,"2/24/2023 2:13","en","game",1,"1",0,"0",34,"0","0",0,NA,NA,"a","wealthy","artistic","artistic","artistic","sexy","artistic","moral","sex","pathogen","pathogen","moral","pathogen",5,5,4,6,5,4,5,1,0,4,2,3,6,3,4,2,4,2,5,3,3,6,7,7,6,7,6,9,7,6,6,4,0,0,1,1,2,3,1,4.71428571428571,2.85714285714286,3.28571428571429,3.61904761904762,9.0404462904378
32,"3/29/2023 16:10","en","game",1,"1",0,"0",35,"1","1",1,10,NA,"a","kind","sexy","wealthy","sexy","artistic","kind","pathogen","moral","sex","sex","moral","pathogen",3,4,2,5,4,5,3,4,3,5,4,4,3,5,4,4,3,5,4,5,4,7,9,10,7,8,9,7,8,6,9,1,0,2,2,1,2,2,2,3.85714285714286,3.85714285714286,4.14285714285714,3.95238095238095,8.91275674147508
34,"2/7/2023 0:10","en","game",1,"1",0,"0",33,"1","0",0,NA,NA,"b","wealthy","sexy","sexy","sexy","wealthy","sexy","moral","sex","sex","sex","moral","sex",0,0,6,0,6,5,0,0,5,6,0,6,0,0,2,1,0,6,1,0,1,6,11,6,7,7,6,6,6,7,6,0,0,0,4,2,2,0,4,1.14285714285714,4.42857142857143,0.857142857142857,2.14285714285714,8.18274475422205
39,"2/12/2023 17:07","pl",NA,1,"1",5,"1",20,"0","0",0,NA,NA,"b","artistic","artistic","healthy","healthy","wealthy","artistic","pathogen","sex","pathogen","sex","pathogen","moral",1,6,1,4,1,0,1,2,5,6,6,3,6,6,6,4,6,4,6,2,3,9,8,7,7,6,8,8,9,8,8,3,2,0,0,1,1,3,2,4,3.14285714285714,4.14285714285714,3.76190476190476,8.53689930617893
44,"1/23/2023 20:14","en","INSTAGRAM STUDY",1,"1",4,"1",20,"0","0",0,NA,NA,"b","wealthy","sexy","wealthy","kind","artistic","artistic","pathogen","sex","sex","moral","pathogen","moral",3,2,4,5,0,1,5,0,1,6,2,5,5,0,2,6,5,6,5,0,4,9,7,8,4,5,7,8,10,9,6,2,0,1,1,2,2,2,2,5,3.28571428571429,1.28571428571429,3.19047619047619,7.72532864445919
49,"1/7/2023 14:37","pl","KG0902",1,"1",0,"0",22,"0","0",0,NA,NA,"b","healthy","healthy","wealthy","sexy","sexy","sexy","sex","sex","pathogen","moral","sex","moral",3,0,1,6,0,3,4,3,0,6,0,5,3,1,0,2,4,2,4,0,2,2,11,10,9,9,9,11,10,9,6,0,2,0,3,1,2,1,3,4,1.85714285714286,1.14285714285714,2.33333333333333,7.23071299919107
50,"3/21/2023 13:57","en","game",1,"1",3,"0",30,"1","1",4,5,10,"b","healthy","kind","sexy","artistic","healthy","kind","moral","moral","pathogen","moral","sex","pathogen",3,5,6,3,5,0,6,4,1,3,3,3,6,5,0,1,6,0,3,5,3,6,11,11,6,9,6,9,7,8,9,1,2,2,1,0,3,2,1,3.57142857142857,1.85714285714286,4.71428571428571,3.38095238095238,7.82269348959324
51,"2/6/2023 21:20","en","game",1,"1",0,"0",43,"1","0",0,NA,NA,"b","healthy","artistic","kind","artistic","sexy","healthy","pathogen","moral","pathogen","moral","sex","moral",4,3,6,3,2,4,6,1,3,3,6,4,3,1,6,4,3,5,2,5,3,6,1,11,6,1,6,11,6,6,6,2,2,1,1,0,3,2,1,3.57142857142857,4.42857142857143,3,3.66666666666667,5.58204200073297
52,"2/6/2023 22:31","en",NA,1,"1",0,"0",29,"0","0",0,NA,NA,"a","wealthy","wealthy","artistic","sexy","artistic","artistic","sex","pathogen","moral","moral","moral","sex",5,6,6,6,0,1,2,2,3,6,0,5,6,1,1,4,3,1,3,1,4,7,6,6,5,7,6,6,7,6,6,3,0,0,1,2,3,1,2,4.57142857142857,3,1.85714285714286,3.14285714285714,8.29752164050098
53,"2/6/2023 20:37","en","game",1,"1",0,"0",47,"1","0",0,NA,NA,"b","artistic","sexy","sexy","healthy","kind","artistic","pathogen","moral","sex","moral","sex","sex",2,0,6,2,0,2,2,0,4,3,0,6,3,0,5,3,0,4,3,1,6,6,5,6,5,3,6,6,6,6,6,2,1,1,2,0,2,1,3,2.57142857142857,4.71428571428571,0.142857142857143,2.47619047619048,7.21121585153783
58,"2/12/2023 15:19","pl","AB13",1,"1",0,"0",23,"1","0",0,NA,NA,"b","artistic","sexy","wealthy","wealthy","sexy","sexy","moral","sex","moral","moral","pathogen","pathogen",6,3,6,6,0,4,0,0,1,3,2,1,2,0,1,2,2,2,2,4,4,1,7,7,7,5,4,4,5,5,5,1,0,0,3,2,3,2,1,3,2.71428571428571,1.57142857142857,2.42857142857143,7.24600502152693
61,"12/18/2022 13:00","pl",NA,1,"1",0,"0",28,"0","0",0,NA,NA,"b","artistic","artistic","artistic","healthy","kind","kind","moral","sex","pathogen","moral","sex","sex",3,2,4,5,2,3,4,3,3,5,3,2,2,2,3,5,3,5,5,3,5,10,8,8,6,9,8,8,9,8,7,3,1,2,0,0,2,1,3,4.14285714285714,3.57142857142857,2.57142857142857,3.42857142857143,8.13470939031303
63,"3/7/2023 19:05","en","game",1,"1",0,"0",30,"1","1",1,3,NA,"a","artistic","sexy","sexy","healthy","artistic","wealthy","pathogen","moral","pathogen","moral","moral","sex",3,2,4,4,2,3,4,2,2,3,4,4,3,4,3,2,3,3,2,2,3,6,11,7,6,8,8,7,8,6,6,2,1,0,2,1,3,2,1,3,3.14285714285714,2.71428571428571,2.95238095238095,8.2591084235665
66,"2/6/2023 20:43","en","game",1,"1",0,"0",44,"0","0",0,NA,NA,"b","kind","artistic","sexy","artistic","sexy","sexy","sex","sex","sex","sex","sex","sex",4,5,5,4,2,3,1,4,2,4,1,0,4,1,4,2,4,0,2,0,2,6,11,11,6,6,11,6,11,11,6,2,0,1,3,0,0,0,6,3,2.28571428571429,2.42857142857143,2.57142857142857,7.81611609758582
71,"2/10/2023 15:05","pl","AC3",1,"1",0,"0",19,"1","0",0,NA,NA,"b","artistic","artistic","artistic","healthy","kind","kind","sex","moral","pathogen","moral","pathogen","pathogen",6,3,1,6,0,2,2,1,0,6,1,3,6,6,2,5,3,1,5,1,0,4,10,9,8,9,8,8,8,6,7,3,1,2,0,0,2,3,1,5.14285714285714,1.28571428571429,2.14285714285714,2.85714285714286,8.30408673347062
74,"2/6/2023 23:40","en","game",1,"1",0,"0",27,"1","0",0,NA,NA,"a","healthy","wealthy","wealthy","kind","sexy","artistic","moral","moral","sex","moral","moral","moral",4,5,6,6,3,3,1,2,3,6,5,6,3,2,5,1,0,6,3,2,6,7,8,9,8,5,7,7,7,6,6,1,1,1,1,2,5,0,1,3.42857142857143,5,2.71428571428571,3.71428571428571,8.75780272158297
78,"3/29/2023 16:08","en","game",1,"1",0,"0",35,"1","1",1,4,NA,"a","kind","artistic","artistic","healthy","healthy","healthy","moral","moral","pathogen","pathogen","moral","sex",1,6,5,6,4,5,1,5,0,4,6,4,1,5,6,2,4,3,1,6,5,9,9,11,8,10,11,9,6,7,8,2,3,1,0,0,3,2,1,2.28571428571429,4,5.14285714285714,3.80952380952381,7.86836895986766
82,"2/24/2023 0:54","en","game",1,"1",0,"0",26,"1","0",0,NA,NA,"a","healthy","healthy","artistic","sexy","sexy","healthy","moral","sex","pathogen","sex","sex","pathogen",3,4,5,4,3,2,3,4,5,4,3,3,4,5,4,3,2,3,4,5,4,6,7,5,8,4,8,8,9,8,5,1,3,0,2,0,1,2,3,3.57142857142857,3.71428571428571,3.71428571428571,3.66666666666667,7.83811855798165
83,"2/6/2023 21:22","en",NA,1,"1",0,"0",30,"1","0",0,NA,NA,"b","kind","kind","sexy","sexy","sexy","sexy","moral","sex","moral","moral","sex","sex",0,5,6,2,2,5,0,1,3,5,1,1,0,3,2,0,1,1,2,2,1,6,8,11,9,6,11,6,9,10,9,0,0,2,4,0,3,0,3,1.28571428571429,2.71428571428571,2.14285714285714,2.04761904761905,8.4013120747029
87,"2/13/2023 15:40","pl","AB13",1,"1",6,"1",18,"1","0",0,NA,NA,"a","healthy","wealthy","sexy","artistic","wealthy","artistic","pathogen","moral","sex","pathogen","moral","sex",2,0,6,6,0,6,0,0,6,3,0,4,4,0,4,2,1,5,2,1,3,11,7,6,4,7,8,9,11,6,6,2,1,0,1,2,2,2,2,2.71428571428571,4.85714285714286,0.285714285714286,2.61904761904762,7.21536188042454
101,"2/6/2023 20:56","en",NA,1,"1",0,"0",36,"0","0",0,NA,NA,"b","artistic","artistic","healthy","sexy","sexy","sexy","pathogen","pathogen","sex","moral","pathogen","moral",4,5,4,5,2,3,5,2,3,5,3,6,5,2,4,4,6,3,4,2,3,6,6,9,5,8,6,7,9,6,6,2,1,0,3,0,2,3,1,4.57142857142857,3.71428571428571,3.14285714285714,3.80952380952381,8.5685566116244
105,"12/20/2022 21:48","pl","AB12",1,"1",0,"0",22,"0","0",0,NA,NA,"b","artistic","artistic","kind","artistic","kind","kind","moral","moral","moral","moral","moral","sex",2,0,3,6,0,5,1,0,3,6,0,5,5,0,4,5,0,0,3,2,2,1,6,8,5,7,1,9,9,6,7,3,0,3,0,0,5,0,1,4,3.14285714285714,0.285714285714286,2.47619047619048,7.21050164178954
106,"2/6/2023 20:28","en",NA,1,"1",0,"0",21,"1","1",2,1,3,"b","healthy","kind","kind","healthy","kind","sexy","sex","pathogen","sex","sex","sex","moral",6,2,5,2,2,6,6,2,1,0,0,0,1,6,3,1,6,3,2,3,3,1,8,2,7,7,1,8,3,8,7,0,2,3,1,0,1,1,4,2.57142857142857,3,3,2.85714285714286,6.3059719921029
111,"1/5/2023 14:32","pl",NA,1,"1",0,"0",23,"1","0",0,NA,NA,"b","wealthy","wealthy","healthy","artistic","artistic","healthy","moral","sex","moral","moral","sex","moral",3,3,4,4,0,5,5,0,1,4,1,2,2,1,1,2,6,5,5,0,6,6,9,3,6,10,7,9,9,9,6,2,2,0,0,2,4,0,2,3.57142857142857,3.42857142857143,1.57142857142857,2.85714285714286,7.27377603517335
112,"2/6/2023 23:31","en",NA,1,"1",0,"0",35,"0","0",0,NA,NA,"b","artistic","wealthy","sexy","kind","sexy","sexy","pathogen","sex","pathogen","moral","moral","moral",6,5,6,4,6,6,2,1,3,6,1,6,2,0,5,1,1,5,0,6,5,9,6,11,6,6,11,11,11,11,11,1,0,1,3,1,3,2,1,3,5.14285714285714,2.85714285714286,3.66666666666667,7.9003827196546
116,"2/24/2023 2:06","en","game",1,"1",1,"0",27,"0","0",0,NA,NA,"b","sexy","sexy","sexy","sexy","healthy","sexy","sex","moral","sex","pathogen","sex","sex",3,4,6,4,1,3,2,4,3,5,3,5,4,4,5,5,4,4,5,1,5,8,5,8,10,5,9,7,9,9,9,0,1,0,5,0,1,1,4,4,4.42857142857143,3,3.80952380952381,7.89356272752091
117,"2/24/2023 0:15","en","game",1,"1",0,"0",26,"1","0",0,NA,NA,"a","kind","artistic","artistic","kind","wealthy","wealthy","pathogen","pathogen","sex","sex","moral","pathogen",4,5,4,5,6,5,4,5,6,5,4,0,1,3,4,6,5,4,3,4,5,2,2,5,11,5,3,2,8,10,1,2,0,2,0,2,1,3,2,4,4,4.57142857142857,4.19047619047619,5.99089354636294
118,"1/8/2023 16:54","pl","KG0902",1,"1",0,"0",23,"0","0",0,NA,NA,"b","artistic","wealthy","kind","artistic","sexy","kind","moral","moral","moral","moral","moral","pathogen",1,4,5,5,3,4,2,0,2,5,1,4,4,2,3,2,2,3,4,1,4,6,6,9,3,6,8,6,8,6,6,2,0,2,1,1,5,1,0,3.28571428571429,3.57142857142857,1.85714285714286,2.9047619047619,7.70128515577064
120,"2/6/2023 22:52","en","game",1,"1",1,"0",35,"1","1",3,5,13,"b","artistic","artistic","sexy","sexy","healthy","artistic","pathogen","moral","sex","moral","pathogen","sex",4,3,5,4,0,4,2,2,3,4,2,3,2,1,4,2,1,3,2,0,3,9,6,7,6,3,5,7,9,8,7,3,1,0,2,0,2,2,2,2.85714285714286,3.57142857142857,1.28571428571429,2.57142857142857,7.40817514663151
121,"3/11/2023 0:01","en","game",1,"1",3,"0",30,"0","0",0,NA,NA,"b","artistic","healthy","kind","artistic","artistic","healthy","pathogen","moral","pathogen","sex","moral","moral",3,5,2,3,1,3,2,4,1,3,2,2,2,5,1,4,2,3,1,5,2,6,7,5,10,8,4,5,4,5,4,3,2,1,0,0,3,2,1,2.57142857142857,2,3.42857142857143,2.66666666666667,8.15079798226071
126,"3/29/2023 16:53","en","Game",1,"1",5,"1",27,"0","0",0,NA,NA,"b","wealthy","wealthy","kind","healthy","kind","sexy","moral","sex","moral","moral","pathogen","moral",5,5,6,6,0,1,5,0,2,5,0,6,3,1,4,1,4,5,3,2,3,5,7,5,7,5,7,5,7,8,8,0,1,2,1,2,4,1,1,4,3.85714285714286,1.71428571428571,3.19047619047619,8.0397307143833
128,"2/6/2023 22:36","en","game",1,"1",0,"0",39,"1","0",0,NA,NA,"b","kind","wealthy","wealthy","wealthy","healthy","sexy","pathogen","sex","moral","moral","pathogen","sex",5,1,3,5,0,4,4,0,3,4,2,4,1,0,4,4,1,4,3,1,4,6,7,9,8,5,8,6,9,9,8,0,1,1,1,3,2,2,2,3.71428571428571,3.71428571428571,0.714285714285714,2.71428571428571,8.74155193642888
132,"2/6/2023 21:18","en","game",1,"1",0,"0",41,"1","1",2,13,15,"b","sexy","kind","artistic","sexy","artistic","artistic","sex","sex","pathogen","pathogen","pathogen","sex",6,5,3,6,1,3,6,1,3,6,5,3,6,4,5,5,5,1,5,4,5,6,6,8,6,6,6,6,7,6,6,3,0,1,2,0,0,3,3,5.71428571428571,3.28571428571429,3.57142857142857,4.19047619047619,8.76294499939468
133,"3/29/2023 16:17","en",NA,1,"1",3,"1",56,"1","1",2,18,20,"a","healthy","wealthy","healthy","healthy","sexy","sexy","pathogen","sex","sex","pathogen","sex","moral",3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,3,4,4,3,4,3,4,5,5,4,4,4,6,5,5,5,0,3,0,2,1,1,2,3,3.28571428571429,3.57142857142857,3.71428571428571,3.52380952380952,6.90373147487142
134,"2/6/2023 21:03","en",NA,1,"1",0,"0",30,"1","0",0,NA,NA,"a","sexy","artistic","artistic","kind","sexy","healthy","pathogen","pathogen","pathogen","pathogen","moral","pathogen",3,1,2,1,0,1,1,0,0,0,0,2,3,1,2,2,0,2,2,0,2,6,9,8,8,8,9,9,9,9,6,2,1,1,2,0,1,5,0,1.71428571428571,1.57142857142857,0.285714285714286,1.19047619047619,9.3036619012079
138,"3/11/2023 1:58","en","game",1,"1",0,"0",27,"0","0",0,NA,NA,"a","artistic","healthy","artistic","healthy","kind","sexy","sex","moral","moral","moral","moral","moral",4,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,4,4,6,6,5,6,2,2,1,1,0,5,0,1,4.71428571428571,4.57142857142857,4.71428571428571,4.66666666666667,6.0213184761597
139,"2/6/2023 20:38","en","game",1,"1",1,"0",30,"1","1",1,1,NA,"b","wealthy","healthy","wealthy","kind","kind","wealthy","pathogen","moral","moral","sex","moral","sex",5,6,4,5,6,4,4,4,6,4,6,4,5,4,6,4,5,5,6,5,4,10,2,10,9,10,10,8,10,2,10,0,1,2,0,3,3,1,2,4.71428571428571,4.71428571428571,5.14285714285714,4.85714285714286,6.63454000012218
141,"3/29/2023 15:57","en",NA,1,"1",0,"0",35,"1","1",1,3,NA,"a","kind","healthy","kind","sexy","artistic","healthy","moral","sex","sex","pathogen","moral","sex",3,5,4,5,5,4,3,5,4,5,5,3,3,4,4,4,3,3,4,5,5,7,11,11,10,11,10,9,10,10,11,1,2,2,1,0,2,1,3,3.85714285714286,3.85714285714286,4.57142857142857,4.09523809523809,7.25789320119793
147,"3/29/2023 16:09","en",NA,1,"1",0,"0",23,"1","1",2,1,3,"b","healthy","kind","kind","wealthy","healthy","sexy","moral","pathogen","pathogen","pathogen","pathogen","moral",3,5,3,4,3,5,3,4,3,4,3,3,2,4,3,4,3,4,2,3,5,8,8,8,10,9,10,9,8,8,10,0,2,2,1,1,2,4,0,3.14285714285714,3.71428571428571,3.57142857142857,3.47619047619048,8.52065135779293
148,"1/8/2023 21:37","pl","KG0902",1,"1",0,"0",24,"1","0",0,NA,NA,"b","kind","sexy","kind","wealthy","sexy","wealthy","sex","sex","sex","moral","moral","sex",2,0,1,6,0,0,0,0,0,6,2,3,1,0,2,6,3,0,6,3,0,3,8,10,7,7,4,8,10,7,6,0,0,2,2,2,2,0,4,3.85714285714286,0.857142857142857,1.14285714285714,1.95238095238095,8.22690922644787
152,"3/7/2023 19:35","en",NA,1,"1",0,"0",27,"1","1",1,2,NA,"a","kind","sexy","artistic","kind","artistic","sexy","pathogen","moral","moral","moral","pathogen","sex",3,2,2,0,0,4,1,0,1,3,2,1,4,3,2,4,3,3,2,3,3,3,4,5,1,10,7,7,9,7,11,2,0,2,2,0,3,2,1,2.42857142857143,2.28571428571429,1.85714285714286,2.19047619047619,5.90194557204971
157,"2/7/2023 12:53","pl",NA,1,"1",0,"0",25,"1","0",0,NA,NA,"a","artistic","wealthy","kind","healthy","wealthy","artistic","pathogen","sex","pathogen","pathogen","moral","moral",6,0,6,6,0,1,0,0,0,6,0,2,0,0,3,2,0,1,6,0,1,6,8,11,7,11,10,8,11,11,1,2,1,1,0,2,2,3,1,3.71428571428571,2,0,1.9047619047619,7.96925369075047
163,"2/6/2023 22:04","en",NA,1,"1",1,"0",30,"1","1",1,2,NA,"a","artistic","kind","sexy","artistic","healthy","healthy","pathogen","moral","pathogen","moral","sex","sex",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,9,8,9,9,6,8,9,9,8,2,2,1,1,0,2,2,2,0.142857142857143,0,0.142857142857143,0.0952380952380952,8.68610464237916
165,"2/6/2023 23:56","en","game",1,"1",0,"0",26,"1","1",1,2,NA,"a","kind","wealthy","kind","kind","kind","wealthy","moral","moral","pathogen","sex","sex","pathogen",4,5,5,4,5,5,4,4,4,5,5,4,5,5,4,4,5,5,5,5,5,8,11,11,10,10,8,10,10,10,9,0,0,4,0,2,2,2,2,4.42857142857143,4.57142857142857,4.85714285714286,4.61904761904762,7.4003474230702
168,"3/29/2023 16:09","en","game",1,"1",0,"0",35,"1","1",1,7,NA,"a","healthy","wealthy","kind","sexy","sexy","sexy","moral","pathogen","sex","sex","sex","sex",4,5,5,4,5,5,4,5,5,5,4,4,3,4,4,5,5,5,5,4,5,2,7,5,7,4,2,6,4,3,4,0,1,1,3,1,1,1,4,4.28571428571429,4.71428571428571,4.57142857142857,4.52380952380952,7.07360781678518
175,"2/9/2023 1:31","pl","INSTAGRAM STUDY",1,"1",5,"1",19,"0","0",0,NA,NA,"b","artistic","sexy","sexy","sexy","sexy","sexy","moral","pathogen","sex","moral","sex","sex",0,2,3,1,0,1,0,0,2,4,6,1,4,0,1,1,1,0,3,0,0,7,9,7,6,5,5,8,7,7,4,1,0,0,5,0,2,1,3,1.85714285714286,1.14285714285714,1.28571428571429,1.42857142857143,8.44143981335365
177,"2/7/2023 2:39","en","game",1,"1",1,"0",25,"1","1",1,1,NA,"a","kind","kind","wealthy","healthy","artistic","healthy","moral","moral","pathogen","sex","pathogen","pathogen",5,4,3,4,5,4,4,3,5,2,5,5,4,5,4,3,5,4,5,3,5,4,7,4,4,8,8,9,8,10,3,1,2,2,0,1,2,3,1,3.85714285714286,4.28571428571429,4.28571428571429,4.14285714285714,7.30212820062973
178,"2/12/2023 22:02","pl",NA,1,"1",5,"1",19,"0","0",0,NA,NA,"b","sexy","wealthy","kind","artistic","artistic","artistic","pathogen","sex","moral","moral","pathogen","moral",3,4,6,5,0,1,0,0,3,5,1,6,6,0,6,0,3,6,5,0,6,7,7,6,6,9,9,6,6,6,9,3,0,1,1,1,3,2,1,3.42857142857143,4.85714285714286,1.14285714285714,3.14285714285714,8.58535467017913
179,"1/29/2023 23:29","pl","KG0902",1,"1",3,"0",23,"1","0",0,NA,NA,"b","wealthy","kind","kind","sexy","kind","healthy","moral","moral","moral","moral","sex","sex",5,4,6,5,1,4,2,1,4,5,5,3,4,4,4,4,3,6,5,3,5,11,10,9,10,9,10,10,11,11,10,0,1,3,1,1,4,0,2,4.28571428571429,4.57142857142857,3,3.95238095238095,7.34169978094981
180,"3/21/2023 15:16","en","game",1,"1",2,"0",27,"0","0",0,NA,NA,"a","wealthy","healthy","kind","healthy","wealthy","artistic","pathogen","pathogen","pathogen","pathogen","moral","sex",4,6,5,4,3,3,4,5,4,4,4,3,4,3,4,4,5,4,3,4,4,10,7,6,6,4,7,7,9,6,9,1,2,1,0,2,1,4,1,3.85714285714286,3.85714285714286,4.28571428571429,4,7.44315108204187
181,"3/29/2023 15:58","en",NA,1,"1",0,"0",23,"1","1",2,1,3,"b","artistic","kind","healthy","kind","kind","healthy","pathogen","sex","moral","pathogen","moral","pathogen",4,3,4,3,4,5,4,1,4,3,4,3,4,3,4,5,4,3,3,4,3,7,7,10,7,9,8,9,9,7,8,1,2,3,0,0,2,3,1,3.71428571428571,3.71428571428571,3.28571428571429,3.57142857142857,8.8542359780284
182,"2/7/2023 0:02","en","game",1,"1",0,"0",27,"1","1",1,1,NA,"b","kind","kind","kind","sexy","kind","sexy","sex","sex","sex","sex","moral","sex",4,5,5,5,5,5,4,6,6,6,6,5,5,5,6,6,6,5,6,6,6,10,9,10,10,9,10,10,9,10,10,0,0,4,2,0,1,0,5,5.14285714285714,5.42857142857143,5.57142857142857,5.38095238095238,7.71153370510091
183,"12/17/2022 21:48","pl","od Pieniaka",1,"1",6,"1",26,"1","0",0,NA,NA,"b","sexy","sexy","kind","healthy","artistic","artistic","moral","pathogen","moral","moral","sex","sex",1,2,6,4,0,5,2,1,3,3,1,5,1,2,3,4,1,2,3,0,6,5,7,8,8,8,6,10,8,9,8,2,1,1,2,0,3,1,2,2.57142857142857,4.28571428571429,1,2.61904761904762,9.22822042010626
