"PIN","timestamp","country","code","plays","sex","kinsey","partnerSex","age","relstat","children","numChild","childYoungest","childOldest","milkCereal","pos1","pos2","pos3","pos4","pos5","pos6","disgust1","disgust2","disgust3","disgust4","disgust5","disgust6","tdds1","tdds2","tdds3","tdds4","tdds5","tdds6","tdds7","tdds8","tdds9","tdds10","tdds11","tdds12","tdds13","tdds14","tdds15","tdds16","tdds17","tdds18","tdds19","tdds20","tdds21","selfArt","selfHealth","selfKind","selfSexy","selfResources","idealArt","idealHealth","idealKind","idealSexy","idealResources","choiceArt","choiceKind","choiceSexy","choiceWealthy","choiceMoral","choicePath","choiceSex","tddMoral","tddPath","tddSex","tddTotal"
43,"2/7/2023 10:59","pl",NA,1,"0",4,"0",18,"0","0",0,NA,NA,"b","sexy","wealthy","wealthy","artistic","artistic","kind","pathogen","moral","moral","moral","pathogen","sex",3,2,5,6,2,3,1,1,0,6,2,5,3,3,4,5,3,6,5,1,0,7,9,7,6,7,8,8,9,10,9,2,1,1,2,3,2,1,4.14285714285714,3.28571428571429,2,3.14285714285714
44,"1/23/2023 20:14","en","INSTAGRAM STUDY",1,"1",4,"1",20,"0","0",0,NA,NA,"b","wealthy","sexy","wealthy","kind","artistic","artistic","pathogen","sex","sex","moral","pathogen","moral",3,2,4,5,0,1,5,0,1,6,2,5,5,0,2,6,5,6,5,0,4,9,7,8,4,5,7,8,10,9,6,2,1,1,2,2,2,2,5,3.28571428571429,1.28571428571429,3.19047619047619
45,"2/6/2023 22:54","en","game",1,"0",0,"1",45,"1","1",2,12,22,"b","sexy","wealthy","sexy","sexy","sexy","sexy","sex","moral","pathogen","moral","moral","sex",6,5,6,6,0,5,5,3,6,6,6,5,6,3,6,5,6,6,6,5,6,3,9,6,6,7,6,9,11,7,7,0,0,5,1,3,1,2,5.71428571428571,5.71428571428571,4,5.14285714285714
46,"12/28/2022 2:16","pl","AB12",1,"0",2,"1",31,"1","0",0,NA,NA,"b","artistic","sexy","sexy","sexy","sexy","sexy","sex","pathogen","pathogen","moral","sex","sex",4,0,6,5,0,2,1,0,1,5,0,4,1,0,1,3,6,4,1,0,2,6,7,6,6,6,6,9,8,6,10,1,0,5,0,1,2,3,2.85714285714286,2.85714285714286,0.857142857142857,2.19047619047619
48,"3/29/2023 16:18","en","game",1,"0",0,"1",35,"1","1",1,10,NA,"a","kind","sexy","artistic","artistic","sexy","wealthy","moral","pathogen","moral","sex","pathogen","sex",3,4,4,4,5,4,4,3,4,4,5,3,4,4,3,4,4,5,5,5,5,7,8,10,10,8,8,10,9,7,8,2,1,2,1,2,2,2,4,4,4.28571428571429,4.09523809523809
49,"1/7/2023 14:37","pl","KG0902",1,"1",0,"0",22,"0","0",0,NA,NA,"b","artistic","artistic","wealthy","sexy","sexy","sexy","sex","sex","pathogen","moral","sex","moral",3,0,1,6,0,3,4,3,0,6,0,5,3,1,0,2,4,2,4,0,2,2,11,10,9,9,9,11,10,9,6,2,0,3,1,2,1,3,4,1.85714285714286,1.14285714285714,2.33333333333333
50,"3/21/2023 13:57","en","game",1,"1",3,"0",30,"1","1",4,5,10,"b","artistic","kind","sexy","artistic","artistic","kind","moral","moral","pathogen","moral","sex","pathogen",3,5,6,3,5,0,6,4,1,3,3,3,6,5,0,1,6,0,3,5,3,6,11,11,6,9,6,9,7,8,9,3,2,1,0,3,2,1,3.57142857142857,1.85714285714286,4.71428571428571,3.38095238095238
51,"2/6/2023 21:20","en","game",1,"1",0,"0",43,"1","0",0,NA,NA,"b","artistic","artistic","kind","artistic","sexy","artistic","pathogen","moral","pathogen","moral","sex","moral",4,3,6,3,2,4,6,1,3,3,6,4,3,1,6,4,3,5,2,5,3,6,1,11,6,1,6,11,6,6,6,4,1,1,0,3,2,1,3.57142857142857,4.42857142857143,3,3.66666666666667
52,"2/6/2023 22:31","en",NA,1,"1",0,"0",29,"0","0",0,NA,NA,"a","wealthy","wealthy","artistic","sexy","artistic","artistic","sex","pathogen","moral","moral","moral","sex",5,6,6,6,0,1,2,2,3,6,0,5,6,1,1,4,3,1,3,1,4,7,6,6,5,7,6,6,7,6,6,3,0,1,2,3,1,2,4.57142857142857,3,1.85714285714286,3.14285714285714
53,"2/6/2023 20:37","en","game",1,"1",0,"0",47,"1","0",0,NA,NA,"b","artistic","sexy","sexy","artistic","kind","artistic","pathogen","moral","sex","moral","sex","sex",2,0,6,2,0,2,2,0,4,3,0,6,3,0,5,3,0,4,3,1,6,6,5,6,5,3,6,6,6,6,6,3,1,2,0,2,1,3,2.57142857142857,4.71428571428571,0.142857142857143,2.47619047619048
54,"2/24/2023 2:02","en","game",1,"0",0,"1",31,"0","1",1,8,NA,"b","artistic","artistic","kind","kind","sexy","sexy","pathogen","sex","moral","moral","sex","moral",2,4,3,3,3,0,1,2,1,3,2,4,4,4,2,3,4,4,4,4,2,5,6,7,7,3,6,6,7,6,10,2,2,2,0,3,1,2,2.85714285714286,2.28571428571429,3.28571428571429,2.80952380952381
55,"1/8/2023 13:20","pl","KG0902",1,"0",0,"1",23,"1","0",0,NA,NA,"b","wealthy","artistic","sexy","artistic","kind","artistic","sex","pathogen","sex","moral","pathogen","moral",4,5,3,5,1,0,2,2,0,6,0,6,3,6,4,1,6,3,5,3,4,9,6,9,8,6,6,9,8,6,6,3,1,1,1,2,2,2,3.71428571428571,2.85714285714286,3.28571428571429,3.28571428571429
56,"12/16/2022 23:01","pl",NA,1,"0",0,"1",34,"0","0",0,NA,NA,"b","artistic","wealthy","artistic","kind","kind","artistic","pathogen","pathogen","sex","moral","moral","pathogen",5,1,2,6,1,2,2,2,2,6,6,0,1,0,5,6,6,4,5,2,1,3,8,6,3,10,2,10,10,3,9,3,2,0,1,2,3,1,4.42857142857143,2.28571428571429,2.57142857142857,3.0952380952381
57,"2/6/2023 21:14","en","game",1,"0",0,"1",34,"1","1",1,7,NA,"b","artistic","wealthy","artistic","kind","artistic","wealthy","moral","moral","pathogen","pathogen","moral","moral",4,5,5,5,4,4,5,4,4,5,5,4,4,4,5,3,4,5,5,3,4,9,9,8,10,9,9,10,9,7,9,3,1,0,2,4,2,0,4.42857142857143,4.42857142857143,4.14285714285714,4.33333333333333
58,"2/12/2023 15:19","pl","AB13",1,"1",0,"0",23,"1","0",0,NA,NA,"b","artistic","sexy","wealthy","wealthy","sexy","sexy","moral","sex","moral","moral","pathogen","pathogen",6,3,6,6,0,4,0,0,1,3,2,1,2,0,1,2,2,2,2,4,4,1,7,7,7,5,4,4,5,5,5,1,0,3,2,3,2,1,3,2.71428571428571,1.57142857142857,2.42857142857143
60,"1/23/2023 23:09","en","INSTAGRAM STUDY",1,"0",3,"1",21,"1","0",0,NA,NA,"b","artistic","sexy","sexy","kind","wealthy","artistic","pathogen","pathogen","sex","sex","sex","sex",4,5,5,6,0,0,4,0,1,5,3,3,4,0,1,5,6,3,3,0,5,6,7,7,6,7,6,6,7,6,6,2,1,2,1,0,2,4,4.42857142857143,2.57142857142857,2,3
61,"12/18/2022 13:00","pl",NA,1,"1",0,"0",28,"0","0",0,NA,NA,"b","artistic",NA,"artistic","artistic","kind","kind","moral","sex","pathogen","moral","sex","sex",3,2,4,5,2,3,4,3,3,5,3,2,2,2,3,5,3,5,5,3,5,10,8,8,6,9,8,8,9,8,7,NA,NA,NA,NA,2,1,3,4.14285714285714,3.57142857142857,2.57142857142857,3.42857142857143
62,"1/29/2023 23:52","pl","KG0902",1,"0",0,"1",37,"1","1",1,5,NA,"a","sexy","sexy","kind","sexy","sexy","artistic","moral","sex","moral","pathogen","moral","sex",6,6,6,6,1,5,3,1,6,6,4,5,4,2,5,5,5,6,2,1,4,8,8,9,9,7,9,9,10,10,10,1,1,4,0,3,1,2,4.57142857142857,5.28571428571429,2.85714285714286,4.23809523809524
63,"3/7/2023 19:05","en","game",1,"1",0,"0",30,"1","1",1,3,NA,"a","artistic","sexy","sexy","artistic","artistic","wealthy","pathogen","moral","pathogen","moral","moral","sex",3,2,4,4,2,3,4,2,2,3,4,4,3,4,3,2,3,3,2,2,3,6,11,7,6,8,8,7,8,6,6,3,0,2,1,3,2,1,3,3.14285714285714,2.71428571428571,2.95238095238095
64,"1/23/2023 23:45","en","INSTAGRAM STUDY",1,"0",6,"0",20,"0","0",0,NA,NA,"b","artistic","wealthy","artistic","artistic","sexy","kind","moral","moral","sex","moral","sex","pathogen",2,6,6,6,0,0,2,0,5,5,6,6,6,4,5,6,4,6,5,6,6,7,6,7,5,4,8,6,7,8,8,3,1,1,1,3,1,2,4.57142857142857,4.85714285714286,3.71428571428571,4.38095238095238
65,"12/24/2022 13:32","pl","AB12",1,"0",4,"0",27,"1","0",0,NA,NA,"a","kind","artistic","artistic","wealthy","wealthy","artistic","moral","moral","moral","moral","moral","pathogen",5,4,5,6,1,1,2,1,5,5,5,2,2,2,4,6,6,6,5,3,4,6,6,7,8,5,7,9,9,8,8,3,1,0,2,5,1,0,4.42857142857143,3.85714285714286,3.14285714285714,3.80952380952381
66,"2/6/2023 20:43","en","game",1,"1",0,"0",44,"0","0",0,NA,NA,"b","kind","artistic","sexy","artistic","sexy","sexy","sex","sex","sex","sex","sex","sex",4,5,5,4,2,3,1,4,2,4,1,0,4,1,4,2,4,0,2,0,2,6,11,11,6,6,11,6,11,11,6,2,1,3,0,0,0,6,3,2.28571428571429,2.42857142857143,2.57142857142857
67,"3/21/2023 14:02","en","game",1,"0",0,"1",30,"1","1",1,5,NA,"b","artistic","artistic","kind","kind","wealthy","artistic","moral","moral","pathogen","sex","moral","sex",5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,6,7,5,6,7,4,3,4,6,7,3,2,0,1,3,1,2,4.42857142857143,4.57142857142857,4.57142857142857,4.52380952380952
69,"12/16/2022 22:53","pl",NA,1,"0",1,"1",25,"2","0",0,NA,NA,"b","sexy","sexy","artistic","sexy","artistic","sexy","sex","sex","moral","sex","sex","sex",0,0,2,0,0,3,0,0,3,0,0,1,0,0,4,0,1,2,0,0,6,3,10,7,8,6,5,10,10,8,9,2,0,4,0,1,0,5,0,3,0.142857142857143,1.04761904761905
71,"2/10/2023 15:05","pl","AC3",1,"1",0,"0",19,"1","0",0,NA,NA,"b","artistic","artistic","artistic","artistic","kind","kind","sex","moral","pathogen","moral","pathogen","pathogen",6,3,1,6,0,2,2,1,0,6,1,3,6,6,2,5,3,1,5,1,0,4,10,9,8,9,8,8,8,6,7,4,2,0,0,2,3,1,5.14285714285714,1.28571428571429,2.14285714285714,2.85714285714286
73,"2/6/2023 20:38","en","game",1,"0",0,"1",45,"1","1",1,16,NA,"b","artistic","sexy","artistic","kind","kind","artistic","moral","sex","pathogen","pathogen","moral","sex",4,3,5,6,1,4,4,3,4,6,3,4,6,4,4,4,4,5,5,3,3,7,6,6,6,7,6,6,7,6,7,3,2,1,0,2,2,2,5,4.14285714285714,3,4.04761904761905
74,"2/6/2023 23:40","en","game",1,"1",0,"0",27,"1","0",0,NA,NA,"a","artistic","wealthy","wealthy","kind","sexy","artistic","moral","moral","sex","moral","moral","moral",4,5,6,6,3,3,1,2,3,6,5,6,3,2,5,1,0,6,3,2,6,7,8,9,8,5,7,7,7,6,6,2,1,1,2,5,0,1,3.42857142857143,5,2.71428571428571,3.71428571428571
78,"3/29/2023 16:08","en","game",1,"1",0,"0",35,"1","1",1,4,NA,"a","kind","artistic","artistic","artistic","artistic","artistic","moral","moral","pathogen","pathogen","moral","sex",1,6,5,6,4,5,1,5,0,4,6,4,1,5,6,2,4,3,1,6,5,9,9,11,8,10,11,9,6,7,8,5,1,0,0,3,2,1,2.28571428571429,4,5.14285714285714,3.80952380952381
79,"1/23/2023 20:36","pl","INSTAGRAM STUDY",1,"0",5,"0",22,"0","0",0,NA,NA,"b","artistic","sexy","sexy","kind","artistic","artistic","moral","sex","sex","pathogen","moral","pathogen",0,3,2,5,0,2,1,1,1,6,3,3,2,0,1,1,6,2,0,0,2,5,4,7,4,5,6,6,8,9,6,3,1,2,0,2,2,2,2.14285714285714,1.85714285714286,1.85714285714286,1.95238095238095
80,"3/11/2023 4:45","en","game",1,"0",4,"0",53,"1","0",0,NA,NA,"b","kind","artistic","artistic","wealthy","artistic","wealthy","sex","moral","sex","pathogen","pathogen","moral",4,5,3,5,6,2,3,4,3,2,3,4,4,3,4,5,3,4,5,3,4,4,6,3,9,5,4,5,4,6,4,3,1,0,2,2,2,2,4,3.42857142857143,3.85714285714286,3.76190476190476
